Transaction creation date,Type,Order number,Legacy order ID,Buyer username,Buyer name,Ship to city,Ship to province/region/state,Ship to zip,Ship to country,Net amount,Payout currency,Payout date,Payout ID,Payout method,Payout status,Reason for hold,Item ID,Transaction ID,Item title,Custom label,Quantity,Item subtotal,Shipping and handling,Seller collected tax,eBay collected tax,Final Value Fee - fixed,Final Value Fee - variable,Regulatory operating fee,"Very high ""item not as described"" fee",Below standard performance fee,International fee,Charity donation,Deposit processing fee,Gross transaction amount,Transaction currency,Exchange rate,Reference ID,Description
2025-06-05T15:37:12.852Z,Order,21-13151-10071,21-13151-10071,divysh-73,--,Hicksville,NY,11801,US,183.46,USD,--,6938198347,--,--,--,3.5698E+11,21-13151-10071,Hermes HERMES Makeup Pouch Neo-Ban PM Cosmetic Pouch Orange,rkm_b4197e4a61f304a8c9300b5b641f6ef1,1,221,--,--,--,--,--,--,--,--,--,--,--,221,USD,--,--,--
2025-06-04T15:19:59.398Z,Other fee,27-13139-40228,27-13139-40228,mcdlib,--,Spring,TX,77386,US,4.53,USD,--,6932083459,--,--,--,3.57003E+11,FEE-6805563434019_11,Beautiful Hermes Twilly BOLDUC Scarf Silk Women's HERMES [1-0200551],rkm_3800815fea00d56bace37529e5c2c6e7,1,192,--,--,--,--,--,--,--,--,--,--,--,192,USD,--,--,Promoted Listings - General fee
2025-06-04T15:15:45.552Z,Order,27-13139-40228,27-13139-40228,mcdlib,--,Spring,TX,77386,US,159.73,USD,--,6932083459,--,--,--,3.57003E+11,27-13139-40228,Beautiful Hermes Twilly BOLDUC Scarf Silk Women's HERMES [1-0200551],rkm_3800815fea00d56bace37529e5c2c6e7,1,192,--,--,--,--,--,--,--,--,--,--,--,192,USD,--,--,--
2025-06-03T17:35:47.340Z,Other fee,16-13149-78113,16-13149-78113,msj_93,--,Abu dhabi,Middle east,815 abudhabi,AE,14.85,USD,--,6932083459,--,--,--,3.56956E+11,FEE-6803145165319_11,Hermes Whip and Grip Marble Silk Kyoto Marble Carre 90 Sold Purchase,rkm_e05c87e484499efcb19550a270f4946e,1,675,--,--,--,--,--,--,--,--,--,--,--,675,USD,--,--,Promoted Listings - General fee
2025-06-03T17:33:04.626Z,Order,16-13149-78113,16-13149-78113,msj_93,--,Abu dhabi,Middle east,815 abudhabi,AE,570.24,USD,--,6932083459,--,--,--,3.56956E+11,16-13149-78113,Hermes Whip and Grip Marble Silk Kyoto Marble Carre 90 Sold Purchase,rkm_e05c87e484499efcb19550a270f4946e,1,675,--,--,--,--,--,--,--,--,--,--,--,675,USD,--,--,--
2025-06-02T19:17:21.558Z,ADJUSTMENT,--,--,--,--,--,--,--,--,0.02,USD,--,6915069067,--,--,--,--,INVOICE-51c4c287b5f3620503d9fd32ec1a29ed_182,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,USD,--,--,--
2025-06-01T17:25:01.531Z,Other fee,--,--,--,--,--,--,--,--,65.95,USD,--,6915069067,--,--,--,--,INVOICE-6797871384019_11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65.95,USD,--,--,2025-05-31 - 2025-06-29
2025-05-28T03:52:25.496Z,Other fee,03-13139-30931,03-13139-30931,bimboshop,--,St Leonards,NSW,2065,AU,3.51,USD,--,6915069067,--,--,--,3.56956E+11,FEE-6786717758819_11,Hermes Twilly Scarf Silk Disorder En Desordre GALA,rkm_4823aacaefdf27d540d8b1bacecd48f9,1,145,--,--,--,--,--,--,--,--,--,--,--,145,USD,--,--,Promoted Listings - General fee
2025-05-28T03:47:46.393Z,Order,03-13139-30931,03-13139-30931,bimboshop,--,St Leonards,NSW,2065,AU,119.9,USD,--,6915069067,--,--,--,3.56956E+11,03-13139-30931,Hermes Twilly Scarf Silk Disorder En Desordre GALA,rkm_4823aacaefdf27d540d8b1bacecd48f9,1,145,--,--,--,--,--,--,--,--,--,--,--,145,USD,--,--,--
2025-05-27T00:59:52.289Z,Other fee,19-13113-93339,19-13113-93339,linfos6997,--,Chicago,IL,60618,US,6.96,USD,--,6915069067,--,--,--,3.56942E+11,FEE-6783717673819_11,[Extremely beautiful condition] Hermes Horse Wheat Field HERMES Carre 45 Scarf Y,rkm_9d17d9db96ac76b009ff46b702cc6f7f,1,287,--,--,--,--,--,--,--,--,--,--,--,287,USD,--,--,Promoted Listings - General fee
2025-05-27T00:56:00.406Z,Order,19-13113-93339,19-13113-93339,linfos6997,--,Chicago,IL,60618,US,237.65,USD,--,6915069067,--,--,--,3.56942E+11,19-13113-93339,[Extremely beautiful condition] Hermes Horse Wheat Field HERMES Carre 45 Scarf Y,rkm_9d17d9db96ac76b009ff46b702cc6f7f,1,287,--,--,--,--,--,--,--,--,--,--,--,287,USD,--,--,--
2025-05-18T23:15:09.038Z,Refund,02-13101-81432,02-13101-81432,sdtnyc,--,Los Angeles,CA,90046,US,121.62,USD,--,6899240227,--,--,--,3.56916E+11,RRP-6504030571-CCM_CHARGE,HERMES Flat Bora Bora Pouch GM,rkm_771091a546d01caa3ad30a197c8668d1,1,147,--,--,--,--,--,--,--,--,--,--,--,147,USD,--,--,--
2025-05-18T15:10:23.583Z,Order,02-13101-81432,02-13101-81432,sdtnyc,--,Los Angeles,CA,90046,US,121.62,USD,--,6899240227,--,--,--,3.56916E+11,02-13101-81432,HERMES Flat Bora Bora Pouch GM,rkm_771091a546d01caa3ad30a197c8668d1,1,147,--,--,--,--,--,--,--,--,--,--,--,147,USD,--,--,--
2025-05-06T15:27:27.654Z,Order,14-13038-97200,14-13038-97200,lisco-ny,--,Islandia,NY,11749,US,254.04,USD,--,6884606803,--,--,--,3.56853E+11,14-13038-97200,Louis Vuitton Taigarama Coin Card Holder Fuchsia M30777,rkm_3002ed709ee0c190463a041e7fb51bbb,1,301,--,--,--,--,--,--,--,--,--,--,--,301,USD,--,--,--
2025-05-05T04:08:36.144Z,Refund,01-13046-71985,01-13046-71985,mive-11,--,Caguas,Puerto Rico,727,PR,242.9,USD,--,6884606803,--,--,--,3.56819E+11,RRP-6497161405-CCM_CHARGE,Louis Vuitton Monogram Zippy Wallet Long Wallet Round Zipper,rkm_cb33d3e2df01da720ab520bfe6a27a7b,1,294,--,--,--,--,--,--,--,--,--,--,--,294,USD,--,--,--
2025-05-04T15:52:05.259Z,Order,01-13046-71985,01-13046-71985,mive-11,--,Caguas,Puerto Rico,727,PR,242.9,USD,--,6884606803,--,--,--,3.56819E+11,01-13046-71985,Louis Vuitton Monogram Zippy Wallet Long Wallet Round Zipper,rkm_cb33d3e2df01da720ab520bfe6a27a7b,1,294,--,--,--,--,--,--,--,--,--,--,--,294,USD,--,--,--
2025-05-03T11:22:53.862Z,Other fee,19-13019-23264,19-13019-23264,asereth1025,--,Warrington,Cheshire,Wa5 1xr,GB,5.06,USD,--,6884606803,--,--,--,3.56822E+11,FEE-6721221563319_11,Popular LOUIS VUITTON Louis Vuitton Wallet Monogram Compact Zip,rkm_33b4dde958ffec9c1bd07278d93b7f3b,1,230,--,--,--,--,--,--,--,--,--,--,--,230,USD,--,--,Promoted Listings - General fee
2025-05-03T11:19:14.650Z,Order,19-13019-23264,19-13019-23264,asereth1025,--,Warrington,Cheshire,Wa5 1xr,GB,194.01,USD,--,6887673691,--,--,--,3.56822E+11,19-13019-23264,Popular LOUIS VUITTON Louis Vuitton Wallet Monogram Compact Zip,rkm_33b4dde958ffec9c1bd07278d93b7f3b,1,230,--,--,--,--,--,--,--,--,--,--,--,230,USD,--,--,--
2025-05-03T06:40:57.928Z,Other fee,16-13001-45937,16-13001-45937,asereth1025,--,Warrington,Cheshire,Wa5 1xr,GB,4.73,USD,--,6884606803,--,--,--,3.56789E+11,FEE-8936918231_42,Louis Vuitton   Monogram   Compact Zip   Bifold Wallet,rkm_8d353c1398440f8527bf8f2b70476992,1,215,--,--,--,--,--,--,--,--,--,--,--,215,USD,--,--,Promoted Listings - General fee
