Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-03-25T01:56:26.153Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:54:11.912Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:53:05.186Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:51:57.938Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:50:32.891Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:46:56.889Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:45:27.885Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:44:21.532Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:43:28.317Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:42:59.368Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:42:12.077Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:41:57.133Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:41:20.025Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:40:41.492Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:40:27.903Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:35:27.478Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:34:23.696Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:33:27.518Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:32:01.584Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:30:38.989Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:26:03.076Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:26:00.128Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:25:16.021Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:23:42.103Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:23:38.619Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:23:22.656Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:22:15.517Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:22:11.293Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:21:36.520Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:20:57.726Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:14:53.234Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:07:03.029Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:03:40.622Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:02:57.416Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
