seller-sku	quantity	price	product-id
B00B5MSTFU	1	182.45	B00B5MSTFU
B00B5MTABM	1	164.92	B00B5MTABM
B00B5NLJ5Q	1	185.68	B00B5NLJ5Q
B00B5NLPWS	1	298.51	B00B5NLPWS
B00B5NLROY	1	249.15	B00B5NLROY
B00B5NMLG2	1	265.17	B00B5NMLG2
B00B6DTFX8	1	141.29	B00B6DTFX8
B00B8A1ZQY	1	96.28	B00B8A1ZQY
B00BETUFLA	1	146.11	B00BETUFLA
B00BEZSKLG	1	53.57	B00BEZSKLG
B00BJANI3Q	1	64.01	B00BJANI3Q
B00BJANI72	1	59.52	B00BJANI72
B00BJANI8Q	1	63.72	B00BJANI8Q
B00BJANII6	1	64.01	B00BJANII6
B00BJOFUDS	1	81.77	B00BJOFUDS
B00BNKUULU	1	194.69	B00BNKUULU
B00BNKUVL4	1	194.69	B00BNKUVL4
B00BT5GTFK	1	72.63	B00BT5GTFK
B00BUKFIGA	1	68.6	B00BUKFIGA
B00C44O452	1	77.87	B00C44O452
B00CD20W1K	1	66.57	B00CD20W1K
B00CHJG4ES	1	117.93	B00CHJG4ES
B00CMG9P4M	1	73.98	B00CMG9P4M
B00D82XK2C	1	113.05	B00D82XK2C
B00DH62QSS	1	87.38	B00DH62QSS
B00DPH7Q9S	1	63.57	B00DPH7Q9S
B00DQRO7K8	1	400.73	B00DQRO7K8
B00DUWMRYW	1	358.57	B00DUWMRYW
B00DWI11W8	1	65.27	B00DWI11W8
B00E3PR6XW	1	83.36	B00E3PR6XW
B00EJ95P3A	1	61.98	B00EJ95P3A
B00EP1OLLE	1	143.67	B00EP1OLLE
B00EP1OP56	1	181.57	B00EP1OP56
B00ES86RX4	1	165.54	B00ES86RX4
B00EZ225QQ	1	58.57	B00EZ225QQ
B00EZ228VS	1	141.29	B00EZ228VS
B00EZW6MPQ	1	76.88	B00EZW6MPQ
B00F55D0K2	1	151.58	B00F55D0K2
B00F5P2B48	1	293.56	B00F5P2B48
B00F5P2B66	1	196.18	B00F5P2B66
B00F9Q8XCW	1	57.15	B00F9Q8XCW
B00FEKXRE2	1	60.39	B00FEKXRE2
B00FJ8ZTKE	1	64.46	B00FJ8ZTKE
B00FKOLHFS	1	153.93	B00FKOLHFS
B00FRCA1EQ	1	238.2	B00FRCA1EQ
B00FZEHF4K	1	71.87	B00FZEHF4K
B00GH44LU8	1	106.97	B00GH44LU8
B00GSWCFTI	1	97.54	B00GSWCFTI
B00GSWCFW0	1	63.72	B00GSWCFW0
B00GTKH774	1	71.88	B00GTKH774
B00GZ3RO0A	1	69.88	B00GZ3RO0A
B00GZ3RR3O	1	66.28	B00GZ3RR3O
B00HA2D0SK	1	89.64	B00HA2D0SK
B00HFEVWLK	1	73.1	B00HFEVWLK
B00HFEVWMY	1	89	B00HFEVWMY
B00HKJYW0I	1	229.69	B00HKJYW0I
B00HLBRJBO	1	232.59	B00HLBRJBO
B00HPRZ6VY	1	277.6	B00HPRZ6VY
B00HQOTDHO	1	108.26	B00HQOTDHO
B00HYHTU8A	1	60.26	B00HYHTU8A
B00HYQI8C0	1	304.33	B00HYQI8C0
B00HYZ4MI0	1	77.99	B00HYZ4MI0
B00I88WTGO	1	64.19	B00I88WTGO
B00INFFERS	1	148.14	B00INFFERS
B00INFFIE2	1	163.71	B00INFFIE2
B00INFFJRI	1	152.41	B00INFFJRI
B00INFFL76	1	148.05	B00INFFL76
B00INFFMQQ	1	160.74	B00INFFMQQ
B00INFFO8W	1	148.87	B00INFFO8W
B00ITJ7CCI	1	390.33	B00ITJ7CCI
B00IWMRO16	1	58.43	B00IWMRO16
B00IWMRP42	1	60.01	B00IWMRP42
B00IWMRUZ6	1	55.55	B00IWMRUZ6
B00J4JEA68	1	71.73	B00J4JEA68
B00J7S7QO4	1	50.37	B00J7S7QO4
B00JBJWHDO	1	73.81	B00JBJWHDO
B00JP1W2W4	1	62.68	B00JP1W2W4
B00JQV650S	1	157.48	B00JQV650S
B00JTOAH3I	1	144.95	B00JTOAH3I
B00JTOGT5S	1	144.45	B00JTOGT5S
B00JTOK1ZC	1	144.45	B00JTOK1ZC
B00JVETOVW	1	285.44	B00JVETOVW
B00JVETZSE	1	265.3	B00JVETZSE
B00JZWVO68	1	63.04	B00JZWVO68
B00K0PDQ1U	1	73.03	B00K0PDQ1U
B00KH57V2I	1	141.29	B00KH57V2I
B00KH57V46	1	115.83	B00KH57V46
B00KHZ8NCA	1	56.8	B00KHZ8NCA
B00KHZ8NMK	1	56.8	B00KHZ8NMK
